"publishedTimeText","simpleText","votes","author","isReply","isHearted","isPinned","isPaid","paidAmount","isSponsor","sponsorshipMonths"
"3 weeks ago","If you wonder the dislike ratio: likes: 3.1M dislikes: 20M","1100","@MasterBigpotato","false","false","false","false","","false",""
"2 weeks ago","I'm guessing you also have the return youtube dislike extension","36","@JeromeStoove","true","false","false","false","","false",""
"2 weeks ago"," @JeromeStoove  how many dislikes does it have now?","5","@ppanddita","true","false","false","false","","false",""
"2 weeks ago"," @ppanddita  sill 20M","6","@santiago6296","true","false","false","false","","false",""
"13 days ago"," @JeromeStoove  just found out about it today. Fking awesome","3","@Rendum7","true","false","false","false","","false",""
"12 days ago","Why? It wasn't bad","1","@ImSarahNiceToMeetYou","true","false","false","false","","false",""
"12 days ago"," @ImSarahNiceToMeetYou  :(","1","@Henry_2312","true","false","false","false","","false",""
"11 days ago","And still world record holder for most disliked video on YouTube.","2","@DarthVader1273","true","false","false","false","","false",""
"11 days ago","That’s crazy","1","@user-lq7xr3hs9g","true","false","false","false","","false",""
"10 days ago","​ @ImSarahNiceToMeetYou uhh","1","@catwich","true","false","false","false","","false",""
"9 days ago"," @ppanddita  however, it now has 0.1 million more likes","4","@maysonguy","true","false","false","false","","false",""
"7 days ago","FR","1","@Yoylecakesoblah","true","false","false","false","","false",""
"7 days ago","deserved","0","@timeblade","true","false","false","false","","false",""
"7 days ago","hes not wrong","0","@MAr10q","true","false","false","false","","false",""
"6 days ago","How to see?","0","@AntoFN-219","true","false","false","false","","false",""
"4 days ago"," @ppanddita  still 3.1M / 20M","0","@voxelHD","true","false","false","false","","false",""
"3 days ago","Thanks man","0","@TheoFelipeDaLuz-bz6gj","true","false","false","false","","false",""
"1 day ago","This is just pure hate. You can't see dislikes anymore. The numbers are made up.","0","@marvinzwettler8171","true","false","false","false","","false",""
"1 day ago"," @marvinzwettler8171  they are not","0","@AntoFN-219","true","false","false","false","","false",""
"1 month ago","Youtube got so offended so that they removed the dislikes","344","@E-jum","false","false","false","false","","false",""
"2 weeks ago","fr","9","@cocomint7363","true","false","false","false","","false",""
"8 days ago","yooo your comment have 111 likes rn.","2","@reset-xj7us","true","false","false","false","","false",""
"2 days ago"," @reset-xj7us  who cares","0","@hairynigga341","true","false","false","false","","false",""
"1 month ago","Tbh this is exactly what 2018 was like💀","123","@MiniDush","false","false","false","false","","false",""
"7 days ago","Real","3","@I.AM.KEWL0_0","true","false","false","false","","false",""
"1 month ago","“Let’s give the people what they want” Famous last words","104","@FreeRangepotat","false","false","false","false","","false",""
"1 month ago","20M Dislikes and 3.1M Likes...You can't stop us YouTube.","83","@Triforce_Tales","false","false","false","false","","false",""
"3 weeks ago","you using bring back youtube dislikes the extension too?","6","@Squirrelbooya_yt","true","false","false","false","","false",""
"1 month ago","YOUTUBE BRING BACK REWINDS PLSS, the fact that we hate it is litearally the use and beauty of rewinds","56","@danishsami8576","false","false","false","false","","false",""
"1 month ago","This honestly does not look that bad compared to what ""trends"" we have now...","38","@Gekkoua","false","false","false","false","","false",""
"2 weeks ago","True","1","@GK4F12","true","false","false","false","","false",""
"2 weeks ago","Yeah, It’s not YouTube’s fault that this is what the public made popular","2","@chey_._day","true","false","false","false","","false",""
"13 days ago","Y’all say the same sh1t every year","0","@dadillonful","true","false","false","false","","false",""
"7 days ago","yeah the internet is more divided now it seems, from my own perspective","0","@kiratwo4u","true","false","false","false","","false",""
"2 weeks ago","Is anyone else watching this in 2024","30","@ColeReid9","false","false","false","false","","false",""
"8 days ago","me!","1","@lillly1188","true","false","false","false","","false",""
